Variant SKU,Body (HTML)
NTS1-SINK404030,"<p>NTS Stainless Steel Fabrication products are custom-engineered solutions designed to meet the specific requirements of professional kitchens, restaurants, hotels, and food processing facilities.
These made-to-order products combine superior craftsmanship with premium food-grade stainless steel to deliver equipment that perfectly fits your space and operational needs.
Each fabrication project undergoes rigorous quality control to ensure precise dimensions, flawless welding, and impeccable finishing that meets international food safety standards.
Our experienced fabricators work closely with clients to transform concepts into functional, durable equipment that enhances workflow efficiency and maintains the highest hygiene standards.
The use of grade 304 stainless steel ensures exceptional corrosion resistance, easy cleaning, and long-lasting performance in demanding commercial environments.
From custom work tables to specialized sinks, exhaust hoods, and storage solutions, every product is tailored to exact specifications while maintaining structural integrity and aesthetic appeal.
Our work tables feature a knock-down design for easy transportation and installation, reducing shipping costs and simplifying on-site assembly.
The modular design approach allows for future modifications and expansions, protecting your investment as your business grows.
All fabricated products feature smooth, crevice-free surfaces that prevent bacterial growth and facilitate thorough sanitization.</p>
<br><br> <p style=""margin-bottom: 26px; font-size: 16px; font-weight: 500; line-height: 24px;"">General Technical Specifications</p>
<li>Material: Food-grade stainless steel 304 (SS304) construction</li>
<li>Thickness: Various gauges available (1.0mm - 2.0mm standard)</li>
<li>Finish: Brushed or polished finish options</li>
<li>Welding: TIG welded joints with smooth finishing</li>
<li>Support: Reinforced frames and adjustable legs</li>
<li>Assembly: Knock-down design available for work tables</li>
<li>Customization: Fully customizable dimensions and configurations</li>
<li>Accessories: Optional backsplashes, undershelves, and drawers</li>
<li>Load Capacity: Engineered to support heavy commercial use</li>
<li>Compliance: Meets NSF and food safety standards</li>"
NTS1-SINK404030-M,"<p>NTS Stainless Steel Fabrication products are custom-engineered solutions designed to meet the specific requirements of professional kitchens, restaurants, hotels, and food processing facilities.
These made-to-order products combine superior craftsmanship with premium food-grade stainless steel to deliver equipment that perfectly fits your space and operational needs.
Each fabrication project undergoes rigorous quality control to ensure precise dimensions, flawless welding, and impeccable finishing that meets international food safety standards.
Our experienced fabricators work closely with clients to transform concepts into functional, durable equipment that enhances workflow efficiency and maintains the highest hygiene standards.
The use of grade 304 stainless steel ensures exceptional corrosion resistance, easy cleaning, and long-lasting performance in demanding commercial environments.
From custom work tables to specialized sinks, exhaust hoods, and storage solutions, every product is tailored to exact specifications while maintaining structural integrity and aesthetic appeal.
Our work tables feature a knock-down design for easy transportation and installation, reducing shipping costs and simplifying on-site assembly.
The modular design approach allows for future modifications and expansions, protecting your investment as your business grows.
All fabricated products feature smooth, crevice-free surfaces that prevent bacterial growth and facilitate thorough sanitization.</p>
<br><br> <p style=""margin-bottom: 26px; font-size: 16px; font-weight: 500; line-height: 24px;"">General Technical Specifications</p>
<li>Material: Food-grade stainless steel 304 (SS304) construction</li>
<li>Thickness: Various gauges available (1.0mm - 2.0mm standard)</li>
<li>Finish: Brushed or polished finish options</li>
<li>Welding: TIG welded joints with smooth finishing</li>
<li>Support: Reinforced frames and adjustable legs</li>
<li>Assembly: Knock-down design available for work tables</li>
<li>Customization: Fully customizable dimensions and configurations</li>
<li>Accessories: Optional backsplashes, undershelves, and drawers</li>
<li>Load Capacity: Engineered to support heavy commercial use</li>
<li>Compliance: Meets NSF and food safety standards</li>"
NTS1-SINK454530-AMO,"<p>NTS Stainless Steel Fabrication products are custom-engineered solutions designed to meet the specific requirements of professional kitchens, restaurants, hotels, and food processing facilities.
These made-to-order products combine superior craftsmanship with premium food-grade stainless steel to deliver equipment that perfectly fits your space and operational needs.
Each fabrication project undergoes rigorous quality control to ensure precise dimensions, flawless welding, and impeccable finishing that meets international food safety standards.
Our experienced fabricators work closely with clients to transform concepts into functional, durable equipment that enhances workflow efficiency and maintains the highest hygiene standards.
The use of grade 304 stainless steel ensures exceptional corrosion resistance, easy cleaning, and long-lasting performance in demanding commercial environments.
From custom work tables to specialized sinks, exhaust hoods, and storage solutions, every product is tailored to exact specifications while maintaining structural integrity and aesthetic appeal.
Our work tables feature a knock-down design for easy transportation and installation, reducing shipping costs and simplifying on-site assembly.
The modular design approach allows for future modifications and expansions, protecting your investment as your business grows.
All fabricated products feature smooth, crevice-free surfaces that prevent bacterial growth and facilitate thorough sanitization.</p>
<br><br> <p style=""margin-bottom: 26px; font-size: 16px; font-weight: 500; line-height: 24px;"">General Technical Specifications</p>
<li>Material: Food-grade stainless steel 304 (SS304) construction</li>
<li>Thickness: Various gauges available (1.0mm - 2.0mm standard)</li>
<li>Finish: Brushed or polished finish options</li>
<li>Welding: TIG welded joints with smooth finishing</li>
<li>Support: Reinforced frames and adjustable legs</li>
<li>Assembly: Knock-down design available for work tables</li>
<li>Customization: Fully customizable dimensions and configurations</li>
<li>Accessories: Optional backsplashes, undershelves, and drawers</li>
<li>Load Capacity: Engineered to support heavy commercial use</li>
<li>Compliance: Meets NSF and food safety standards</li>"
NTS1-SINK505030,"<p>NTS Stainless Steel Fabrication products are custom-engineered solutions designed to meet the specific requirements of professional kitchens, restaurants, hotels, and food processing facilities.
These made-to-order products combine superior craftsmanship with premium food-grade stainless steel to deliver equipment that perfectly fits your space and operational needs.
Each fabrication project undergoes rigorous quality control to ensure precise dimensions, flawless welding, and impeccable finishing that meets international food safety standards.
Our experienced fabricators work closely with clients to transform concepts into functional, durable equipment that enhances workflow efficiency and maintains the highest hygiene standards.
The use of grade 304 stainless steel ensures exceptional corrosion resistance, easy cleaning, and long-lasting performance in demanding commercial environments.
From custom work tables to specialized sinks, exhaust hoods, and storage solutions, every product is tailored to exact specifications while maintaining structural integrity and aesthetic appeal.
Our work tables feature a knock-down design for easy transportation and installation, reducing shipping costs and simplifying on-site assembly.
The modular design approach allows for future modifications and expansions, protecting your investment as your business grows.
All fabricated products feature smooth, crevice-free surfaces that prevent bacterial growth and facilitate thorough sanitization.</p>
<br><br> <p style=""margin-bottom: 26px; font-size: 16px; font-weight: 500; line-height: 24px;"">General Technical Specifications</p>
<li>Material: Food-grade stainless steel 304 (SS304) construction</li>
<li>Thickness: Various gauges available (1.0mm - 2.0mm standard)</li>
<li>Finish: Brushed or polished finish options</li>
<li>Welding: TIG welded joints with smooth finishing</li>
<li>Support: Reinforced frames and adjustable legs</li>
<li>Assembly: Knock-down design available for work tables</li>
<li>Customization: Fully customizable dimensions and configurations</li>
<li>Accessories: Optional backsplashes, undershelves, and drawers</li>
<li>Load Capacity: Engineered to support heavy commercial use</li>
<li>Compliance: Meets NSF and food safety standards</li>"
NTS1-SINK505030-ASO,"<p>NTS Stainless Steel Fabrication products are custom-engineered solutions designed to meet the specific requirements of professional kitchens, restaurants, hotels, and food processing facilities.
These made-to-order products combine superior craftsmanship with premium food-grade stainless steel to deliver equipment that perfectly fits your space and operational needs.
Each fabrication project undergoes rigorous quality control to ensure precise dimensions, flawless welding, and impeccable finishing that meets international food safety standards.
Our experienced fabricators work closely with clients to transform concepts into functional, durable equipment that enhances workflow efficiency and maintains the highest hygiene standards.
The use of grade 304 stainless steel ensures exceptional corrosion resistance, easy cleaning, and long-lasting performance in demanding commercial environments.
From custom work tables to specialized sinks, exhaust hoods, and storage solutions, every product is tailored to exact specifications while maintaining structural integrity and aesthetic appeal.
Our work tables feature a knock-down design for easy transportation and installation, reducing shipping costs and simplifying on-site assembly.
The modular design approach allows for future modifications and expansions, protecting your investment as your business grows.
All fabricated products feature smooth, crevice-free surfaces that prevent bacterial growth and facilitate thorough sanitization.</p>
<br><br> <p style=""margin-bottom: 26px; font-size: 16px; font-weight: 500; line-height: 24px;"">General Technical Specifications</p>
<li>Material: Food-grade stainless steel 304 (SS304) construction</li>
<li>Thickness: Various gauges available (1.0mm - 2.0mm standard)</li>
<li>Finish: Brushed or polished finish options</li>
<li>Welding: TIG welded joints with smooth finishing</li>
<li>Support: Reinforced frames and adjustable legs</li>
<li>Assembly: Knock-down design available for work tables</li>
<li>Customization: Fully customizable dimensions and configurations</li>
<li>Accessories: Optional backsplashes, undershelves, and drawers</li>
<li>Load Capacity: Engineered to support heavy commercial use</li>
<li>Compliance: Meets NSF and food safety standards</li>"
NTS1-SINK505030-M,"<p>NTS Stainless Steel Fabrication products are custom-engineered solutions designed to meet the specific requirements of professional kitchens, restaurants, hotels, and food processing facilities.
These made-to-order products combine superior craftsmanship with premium food-grade stainless steel to deliver equipment that perfectly fits your space and operational needs.
Each fabrication project undergoes rigorous quality control to ensure precise dimensions, flawless welding, and impeccable finishing that meets international food safety standards.
Our experienced fabricators work closely with clients to transform concepts into functional, durable equipment that enhances workflow efficiency and maintains the highest hygiene standards.
The use of grade 304 stainless steel ensures exceptional corrosion resistance, easy cleaning, and long-lasting performance in demanding commercial environments.
From custom work tables to specialized sinks, exhaust hoods, and storage solutions, every product is tailored to exact specifications while maintaining structural integrity and aesthetic appeal.
Our work tables feature a knock-down design for easy transportation and installation, reducing shipping costs and simplifying on-site assembly.
The modular design approach allows for future modifications and expansions, protecting your investment as your business grows.
All fabricated products feature smooth, crevice-free surfaces that prevent bacterial growth and facilitate thorough sanitization.</p>
<br><br> <p style=""margin-bottom: 26px; font-size: 16px; font-weight: 500; line-height: 24px;"">General Technical Specifications</p>
<li>Material: Food-grade stainless steel 304 (SS304) construction</li>
<li>Thickness: Various gauges available (1.0mm - 2.0mm standard)</li>
<li>Finish: Brushed or polished finish options</li>
<li>Welding: TIG welded joints with smooth finishing</li>
<li>Support: Reinforced frames and adjustable legs</li>
<li>Assembly: Knock-down design available for work tables</li>
<li>Customization: Fully customizable dimensions and configurations</li>
<li>Accessories: Optional backsplashes, undershelves, and drawers</li>
<li>Load Capacity: Engineered to support heavy commercial use</li>
<li>Compliance: Meets NSF and food safety standards</li>"
NTS1-SINK524028-AS,"<p>NTS Stainless Steel Fabrication products are custom-engineered solutions designed to meet the specific requirements of professional kitchens, restaurants, hotels, and food processing facilities.
These made-to-order products combine superior craftsmanship with premium food-grade stainless steel to deliver equipment that perfectly fits your space and operational needs.
Each fabrication project undergoes rigorous quality control to ensure precise dimensions, flawless welding, and impeccable finishing that meets international food safety standards.
Our experienced fabricators work closely with clients to transform concepts into functional, durable equipment that enhances workflow efficiency and maintains the highest hygiene standards.
The use of grade 304 stainless steel ensures exceptional corrosion resistance, easy cleaning, and long-lasting performance in demanding commercial environments.
From custom work tables to specialized sinks, exhaust hoods, and storage solutions, every product is tailored to exact specifications while maintaining structural integrity and aesthetic appeal.
Our work tables feature a knock-down design for easy transportation and installation, reducing shipping costs and simplifying on-site assembly.
The modular design approach allows for future modifications and expansions, protecting your investment as your business grows.
All fabricated products feature smooth, crevice-free surfaces that prevent bacterial growth and facilitate thorough sanitization.</p>
<br><br> <p style=""margin-bottom: 26px; font-size: 16px; font-weight: 500; line-height: 24px;"">General Technical Specifications</p>
<li>Material: Food-grade stainless steel 304 (SS304) construction</li>
<li>Thickness: Various gauges available (1.0mm - 2.0mm standard)</li>
<li>Finish: Brushed or polished finish options</li>
<li>Welding: TIG welded joints with smooth finishing</li>
<li>Support: Reinforced frames and adjustable legs</li>
<li>Assembly: Knock-down design available for work tables</li>
<li>Customization: Fully customizable dimensions and configurations</li>
<li>Accessories: Optional backsplashes, undershelves, and drawers</li>
<li>Load Capacity: Engineered to support heavy commercial use</li>
<li>Compliance: Meets NSF and food safety standards</li>"
NTS1-HLCS3-SSG,"<li>Professional carving station heat lamps engineered for premium meat service and presentation</li>
<li>Heavy-duty construction withstands continuous commercial kitchen operations</li>
<li>Triple lamp heads ensure comprehensive heat distribution</li>
<li>Overhead heating system for optimal meat temperature</li>
<li>Sanitary stainless steel construction</li>
<li>Adjustable arm positions direct heat precisely where needed</li>
<li>Integrated drip tray system</li>
<li>Perfect for hotels, steakhouses, buffets, and special event catering</li>
<br><br><p style=""margin-bottom: 26px; font-size: 16px; font-weight: 400; line-height: 24px;"">Technical Specifications:</p>
<li>Lamp Heads: 3 lamps</li>
<li>Power Output: 750 Watts per lamp</li>
<li>Heated Base: Overhead heating only</li>
<li>Lamp Finish: Stainless steel</li>
<li>Base Finish: Brown marble</li>
<li>Dimensions: 600mm (W) × 540mm (L) × 760mm (H)</li>
<li>Voltage: 220</li>
<li>Manufacturing Origin: China</li>
<li>Applications: Meat carving stations, prime rib service, roast presentations</li>"
SIR1-VISTA-P2-HOT,"<ul>
<li><strong>VISTA</strong></li>
<li>Case for displaying and storing croissants, cakes, and other snacks</li>
<li>Available with 1 or 2 levels</li>
<li>Stainless steel extractable product holding surfaces</li>
<li>Aluminum, perfectly smooth base easy to clean</li>
<li>Transparent plexiglas structure and anodised aluminum profiles</li>
<li>2 vertically openable doors</li>
</ul>

<p><strong>Vista Hot:</strong></p>
<ul>
<li>Adjustable thermostat</li>
<li>Water tank to maintain humidity</li>
</ul>
"
SIR1-CREPES-W-MOULD,"<ul>
<li>CREPIERA TONDA CERAMICATA</li>
<li>Structure in stainless steel.</li>
<li>Simple and compact shape.</li>
<li>Overall dimensions is the work surface.</li>
<li>Cooking surface in ceramic cast iron for perfect thermal distribution and easy cleaning.</li>
<li>Thermostat control.</li>
<li>Shock-proof coated heating elements.</li>
<li>Adjustable feet for a safe and steady placing.</li>
<li>Available with smooth surface or with mould.</li>
</ul>
"
