Variant SKU,Body (HTML)
MBM1-MCPG74A,"<ul>
  <li><strong>Base Features:</strong></li>
  <ul>
    <li>The moulded tanks are in AISI 316 anti-corrosion stainless steel, with rounded corners for easy cleaning</li>
    <li>The optional pasta baskets are in AISI 304 18/10 stainless steel with thermal handle</li>
    <li>Electric valve to load the water</li>
  </ul>

  <li><strong>Gas Version:</strong></li>
  <ul>
    <li>Stainless steel burner with self-stabilizing flame</li>
    <li>Thermocouple safety device connected to the pilot flame</li>
    <li>Piezo-electric burner ignition</li>
  </ul>
</ul>
"
MBM1-MFTG74TLC,"<ul><li><strong>Base Features:</strong><ul><li>Cooking plate with rounded front corners in smooth steel, with polished or solid chrome finish</li><li>15 mm plate thickness</li><li>Removable stainless steel basin with 2-liter capacity for grease discharge</li><li>In 70 cm models, possible to differentiate cooking with independent gas burners/electric heating elements</li><li>Chrome finishing allows cooking different foods without transferring smells and flavors</li><li>Avoids having to clean the griddle plate between different cooking</li><li>Lower dispersion of heat, making the working environment more comfortable</li><li>1 mm worktop in AISI 18/10 stainless steel</li><li>Excellent alignment with joints</li></ul></li></ul>"
ROL1-140,"<ul>
  <li>The lava stone grill 140 is an electric grill used for skewers of meat or fish and for natural, healthy, tasty, and digestible grilled food.</li>
  <li>Like the embers of wood, the lava rocks evenly distribute the heat over the entire cooking grid and absorb fat.</li>
  <li>This professional electric grill allows for successive and alternating cooking of fish, meats, sausages without transmission of taste or smell.</li>
  <li>The stainless steel fireguard fixed around the electric grill protects from possible cooking splashes.</li>
  <li>This electric grill is very easy to clean. The dishwasher-safe lava rocks, the electrical box, and the enamelled tray are fully removable.</li>
  <li>Features:</li>
  <ul>
    <li>Energy regulator with 10 positions</li>
    <li>Control lights</li>
  </ul>
</ul>
"
ROL1-CO60,"<ul>
  <li>The professional CO 60 egg boiler is a must-have equipment for breakfast buffet and brunch.</li>
  <li>The Gastronorm GN 1/3 egg boiler is an indispensable professional equipment for breakfast buffets in hotels and brunches in restaurants.</li>
  <li>This professional egg cooker allows each customer to prepare their egg at the desired cooking time: soft-boiled egg, boiled egg, poached egg, etc.</li>
  <li>Nothing is easier and safer than the use of the egg cooker Roller Grill!</li>
  <li>The Roller Grill egg cooker works like a bain-marie: simply pour water into the GN 1/3 stainless steel tray and immerse the egg basket in boiling water.</li>
  <li>The powerful heating element is placed under the container, and an aluminum plate evenly transfers the heat to the entire base of the water tray.</li>
  <li>The temperature limiter enables safe egg cooking.</li>
  <li>Easy to clean and store, the compact egg cooker is equipped with a stainless-steel lid.</li>
  <li>The egg cooker comes with 6 numbered baskets and holds up to 10 egg baskets.</li>
</ul>
"
ROB1-12,"<li>Portable double boiling hot plate with two 150 mm heating elements</li>
<li>Independent temperature control for each burner</li>
<li>Fast heat-up time ideal for light cooking, boiling, or warming</li>
<li>Stainless steel housing suitable for commercial environments</li>
<li>Compact unit for benchtop use in cafes, kiosks, or backup kitchen areas</li>
<br><br>
<p style=""margin-bottom: 26px; font-size: 16px; font-weight: 500; line-height: 24px;"">Technical Specifications:</p>
<li>Power Supply: 220V / 50Hz</li>
<li>Power Consumption: 2300W</li>
<li>Heating Plates: 2 × 150 mm</li>
<li>External Dimensions: Approx. 500 × 290 × 130 mm</li>
<li>Material: Stainless steel body with cast iron plates</li>
<li>Spare parts warranty: 1 Year</li>
<li>Service warranty: 1 Year</li>
<li>Made in: Australia</li>
<li>Certification standards: CE</li>
"
LIN1-650101,"<li>Ideal for the supply of portions of chips, as an occasional fryer or for cooking highly flavoured food</li>
<li>Mechanical thermostat for maintaining oil temperature to within +/-8°C of the temperature set</li>
<li>One piece pressed stainless steel tank with rounded corners for reduced cleaning times</li>
<li>Lift-out control panel for easy cleaning and maintenance</li>
<li>Durable stainless steel construction for long service life</li>
<li>Compact countertop design for maximum space efficiency</li>
<li>Powerful heating elements for quick temperature recovery</li>
<li>Front-mounted controls for safe and convenient operation</li>
<li>Includes one high-quality stainless steel frying basket</li>
<li>Suitable for small to medium-volume foodservice operations</li>
<br><br>
<p style=""margin-bottom: 26px; font-size: 16px; font-weight: 500; line-height: 24px;"">Technical Specifications:</p>
<li>POWER RATING: 3.2 kW</li>
<li>VOLTAGE: 230V/50Hz/1Ph</li>
<li>DIMENSIONS: 203mm (W) x 375mm (D) x 295mm (H)</li>
<li>CONSTRUCTION: Stainless steel</li>
<li>TEMPERATURE RANGE: Up to 190°C</li>
<li>CONTROL TYPE: Mechanical thermostat</li>
<li>BASKET DIMENSIONS: Standard single basket</li>
<li>TANK CAPACITY: 4 liters</li>
<li>OIL CAPACITY: 4 liters</li>
<li>NET WEIGHT: 6.5 kg</li>
<li>Spare parts warranty: 1 Year</li>
<li>Service warranty: 90 Days</li>
<li>Made in: United Kingdom</li>
<li>Certification: CE, UKCA</li>"
LIN1-GR3-P,"<li>Powerful ceramic plaque burners for rapid heat up</li>
<li>Even heat distribution for maximum output and even cooking</li>
<li>5 shelf positions to give maximum flexibility for all catering operations</li>
<li>Chrome wire shelf to allow trays and food to be placed on for cooking</li>
<li>Cool touch handles for safety</li>
<li>Enamelled interior and hood for easy cleaning</li>
<li>Ideal for fast-paced restaurants, pubs and takeaways</li>
<li>Perfect for producing perfectly grilled meat, fish, and toast</li>
<li>Compact gas design suitable for modestly-sized kitchens</li>
<li>Easy to operate and maintain</li>
<br><br>
<p style=""margin-bottom: 26px; font-size: 16px; font-weight: 500; line-height: 24px;"">Technical Specifications:</p>
<li>POWER RATING: 5.0 kW</li>
<li>GAS TYPE: Propane Gas</li>
<li>DIMENSIONS: 600mm (W) x 350mm (D) x 314mm (H)</li>
<li>CONSTRUCTION: Stainless steel</li>
<li>CONTROL TYPE: Manual gas control</li>
<li>COOKING AREA: 410mm (W) x 230mm (D)</li>
<li>NUMBER OF SHELF POSITIONS: 5</li>
<li>BURNER TYPE: Ceramic plaque burners</li>
<li>NET WEIGHT: 20 kg</li>
<li>PROFESSIONAL INSTALLATION: Yes</li>
<li>Spare parts warranty: 1 Year</li>
<li>Service warranty: 1 Year</li>
<li>Made in: United Kingdom</li>
<li>Certification: CE, UKCA</li>"
NTS1-SINK404030,"<p>NTS Stainless Steel Fabrication products are custom-engineered solutions designed to meet the specific requirements of professional kitchens, restaurants, hotels, and food processing facilities.
These made-to-order products combine superior craftsmanship with premium food-grade stainless steel to deliver equipment that perfectly fits your space and operational needs.
Each fabrication project undergoes rigorous quality control to ensure precise dimensions, flawless welding, and impeccable finishing that meets international food safety standards.
Our experienced fabricators work closely with clients to transform concepts into functional, durable equipment that enhances workflow efficiency and maintains the highest hygiene standards.
The use of grade 304 stainless steel ensures exceptional corrosion resistance, easy cleaning, and long-lasting performance in demanding commercial environments.
From custom work tables to specialized sinks, exhaust hoods, and storage solutions, every product is tailored to exact specifications while maintaining structural integrity and aesthetic appeal.
Our work tables feature a knock-down design for easy transportation and installation, reducing shipping costs and simplifying on-site assembly.
The modular design approach allows for future modifications and expansions, protecting your investment as your business grows.
All fabricated products feature smooth, crevice-free surfaces that prevent bacterial growth and facilitate thorough sanitization.</p>
<br><br> <p style=""margin-bottom: 26px; font-size: 16px; font-weight: 500; line-height: 24px;"">General Technical Specifications</p>
<li>Material: Food-grade stainless steel 304 (SS304) construction</li>
<li>Thickness: Various gauges available (1.0mm - 2.0mm standard)</li>
<li>Finish: Brushed or polished finish options</li>
<li>Welding: TIG welded joints with smooth finishing</li>
<li>Support: Reinforced frames and adjustable legs</li>
<li>Assembly: Knock-down design available for work tables</li>
<li>Customization: Fully customizable dimensions and configurations</li>
<li>Accessories: Optional backsplashes, undershelves, and drawers</li>
<li>Load Capacity: Engineered to support heavy commercial use</li>
<li>Compliance: Meets NSF and food safety standards</li>"
NTS1-SINK404030-M,"<p>NTS Stainless Steel Fabrication products are custom-engineered solutions designed to meet the specific requirements of professional kitchens, restaurants, hotels, and food processing facilities.
These made-to-order products combine superior craftsmanship with premium food-grade stainless steel to deliver equipment that perfectly fits your space and operational needs.
Each fabrication project undergoes rigorous quality control to ensure precise dimensions, flawless welding, and impeccable finishing that meets international food safety standards.
Our experienced fabricators work closely with clients to transform concepts into functional, durable equipment that enhances workflow efficiency and maintains the highest hygiene standards.
The use of grade 304 stainless steel ensures exceptional corrosion resistance, easy cleaning, and long-lasting performance in demanding commercial environments.
From custom work tables to specialized sinks, exhaust hoods, and storage solutions, every product is tailored to exact specifications while maintaining structural integrity and aesthetic appeal.
Our work tables feature a knock-down design for easy transportation and installation, reducing shipping costs and simplifying on-site assembly.
The modular design approach allows for future modifications and expansions, protecting your investment as your business grows.
All fabricated products feature smooth, crevice-free surfaces that prevent bacterial growth and facilitate thorough sanitization.</p>
<br><br> <p style=""margin-bottom: 26px; font-size: 16px; font-weight: 500; line-height: 24px;"">General Technical Specifications</p>
<li>Material: Food-grade stainless steel 304 (SS304) construction</li>
<li>Thickness: Various gauges available (1.0mm - 2.0mm standard)</li>
<li>Finish: Brushed or polished finish options</li>
<li>Welding: TIG welded joints with smooth finishing</li>
<li>Support: Reinforced frames and adjustable legs</li>
<li>Assembly: Knock-down design available for work tables</li>
<li>Customization: Fully customizable dimensions and configurations</li>
<li>Accessories: Optional backsplashes, undershelves, and drawers</li>
<li>Load Capacity: Engineered to support heavy commercial use</li>
<li>Compliance: Meets NSF and food safety standards</li>"
NTS1-SINK454530-AMO,"<p>NTS Stainless Steel Fabrication products are custom-engineered solutions designed to meet the specific requirements of professional kitchens, restaurants, hotels, and food processing facilities.
These made-to-order products combine superior craftsmanship with premium food-grade stainless steel to deliver equipment that perfectly fits your space and operational needs.
Each fabrication project undergoes rigorous quality control to ensure precise dimensions, flawless welding, and impeccable finishing that meets international food safety standards.
Our experienced fabricators work closely with clients to transform concepts into functional, durable equipment that enhances workflow efficiency and maintains the highest hygiene standards.
The use of grade 304 stainless steel ensures exceptional corrosion resistance, easy cleaning, and long-lasting performance in demanding commercial environments.
From custom work tables to specialized sinks, exhaust hoods, and storage solutions, every product is tailored to exact specifications while maintaining structural integrity and aesthetic appeal.
Our work tables feature a knock-down design for easy transportation and installation, reducing shipping costs and simplifying on-site assembly.
The modular design approach allows for future modifications and expansions, protecting your investment as your business grows.
All fabricated products feature smooth, crevice-free surfaces that prevent bacterial growth and facilitate thorough sanitization.</p>
<br><br> <p style=""margin-bottom: 26px; font-size: 16px; font-weight: 500; line-height: 24px;"">General Technical Specifications</p>
<li>Material: Food-grade stainless steel 304 (SS304) construction</li>
<li>Thickness: Various gauges available (1.0mm - 2.0mm standard)</li>
<li>Finish: Brushed or polished finish options</li>
<li>Welding: TIG welded joints with smooth finishing</li>
<li>Support: Reinforced frames and adjustable legs</li>
<li>Assembly: Knock-down design available for work tables</li>
<li>Customization: Fully customizable dimensions and configurations</li>
<li>Accessories: Optional backsplashes, undershelves, and drawers</li>
<li>Load Capacity: Engineered to support heavy commercial use</li>
<li>Compliance: Meets NSF and food safety standards</li>"
