sku,GID,descriptionHtml,specs.width_mm,specs.length_mm,specs.height_mm,specs.weight_kg,specs.voltage,specs.wattage,specs.cooking_surface_mm,specs.energy_type,specs.construction,specs.usage_time,specs.temperature,specs.safety_features,specs.special_features,specs.accessories,specs.performance_rate,specs.service_warranty,specs.spareparts_warranty,specs.made_in,specs.certificates
ROL1-140,gid://shopify/Product/8645501124807,"<p>The lava stone grill 140 is an electric grill used for skewers of meat or fish and of natural, healthy, tasty and digestible grilled food.</p><p>Like the embers of wood, the lava rocks evenly distribute the heat over the entire cooking grid and absorb fat.</p><p>This professional electric grill allows for successive and alternating cooking of fish, meats, sausages without transmission of taste or smell.</p><p>The stainless steel fireguard fixed around the electric grill protects from possible cooking splashes.</p><p>This electric grill is very easy to clean. The dishwasher-safe lava rocks, the electrical box and the enamelled tray are fully removable.</p><p>Features:</p><ul><li>energy regulator with 10 positions</li><li>control lights.</li></ul>",300,545,210,8 kg,2.5 kW,230V,230x310,Electric,Stainless steel,Continuous,Variable,Thermostat,Lava rock cooking,Lava rocks F07001,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-BAR1000,gid://shopify/Product/8645501157575,"<p>The lava stone grill 140 is an electric grill used for skewers of meat or fish and of natural, healthy, tasty and digestible grilled food.</p><p>Like the embers of wood, the lava rocks evenly distribute the heat over the entire cooking grid and absorb fat.</p><p>This professional electric grill allows for successive and alternating cooking of fish, meats, sausages without transmission of taste or smell.</p><p>The stainless steel fireguard fixed around the electric grill protects from possible cooking splashes.</p><p>This electric grill is very easy to clean. The dishwasher-safe lava rocks, the electrical box and the enamelled tray are fully removable.</p><p>Features:</p><ul><li>energy regulator with 10 positions</li><li>control lights.</li></ul>",450,300,305,9 kg,2 kW,230V,1,Electric,Stainless steel,30s heatup,1050°C,Protection grids,Instant cooking,Tongs F01013,150 toasts/h,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-BAR2000,gid://shopify/Product/8645501190343,,450,300,420,11 kg,3 kW,230V,2,Electric,Stainless steel,30s heatup,1050°C,Protection grids,Dual cooking,Tongs F01013,300 toasts/h,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-BE1-3,gid://shopify/Product/8645526094023,"<p>The eutectic container is a Gastronorm GN 1/3 container equipped with a refrigerated shell to keep in the open air for 5 hours any preparation of liquid paste according to hygiene and sanitary standards.</p><p>Just drop the empty white container in the freezer overnight. At the time of service, simply fill in the refrigerated container with crepe, waffle or any king of batter. The eutectic container of 1.5L capacity is ready for use!</p>",,,,,,,,,,,,,,,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-BM21,gid://shopify/Product/8645503942855,"<p>This Gastronorm GN2 / 1 bainmarie allows you to cook gently or to keep warm food, prepared dishes, sauces etc. This gentle cooking or reheating is done in a bainmarie hot water tank. The culinary preparations are cooked or heated without contact with the heat source in a water bath at 90 ° C.</p><p>The professional double bainmarie is a highperformance water bath with a new double heating system to prevent distortion of the tank. This builtin or standing model is equipped with a stamped stainless steel tank and a draining system on the front. This stainless steel bainmarie can receive GN containers with a maximum height of 150 mm.</p><p>Features:</p><ul><li>2 adjustable heating powers</li><li>control switchthermostat</li><li>temperature limiter with automatic reset</li><li>control lamp</li><li>Safe stainless steel draining tap</li><li>Reinforced insulation</li><li>Delivered without GN container.</li></ul>",695,650,260,21 kg,3.5 kW,230V,,Electric,Stainless steel,Continuous,90°C,Auto reset limiter,Double heating,GN containers,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-BML11,gid://shopify/Product/8646050742471,"<p>This Gastronorm GN 1 / 1 bainmarie allows you to cook gently or to keep warm food, prepared dishes, sauces etc. This gentle cooking or reheating is done in a bainmarie hot water tank. The culinary preparations are cooked or heated without contact with the heat source in a water bath at 90 ° C.</p><p>The professional bainmarie is a highperformance water bath with a new double heating system to prevent distortion of the tank. This standing model is equipped with a stamped stainless steel tank and a draining system on the front. This stainless steel bainmarie can receive GN containers with a maximum height of 150 mm.</p><p>Features:</p><ul><li>2 adjustable heating powers</li><li>control switchthermostat</li><li>temperature limiter with automatic reset</li><li>control lamp</li><li>Safe stainless steel draining tap</li><li>Reinforced insulation</li><li>Delivered without GN container.</li></ul>",535,370,260,12 kg,1.75 kW,230V,,Electric,Stainless steel,Continuous,90°C,Auto reset limiter,High performance,GN containers,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-BMP11,gid://shopify/Product/8646050775239,"<p>This Gastronorm GN 1 / 1 bainmarie allows you to cook gently or to keep warm food, prepared dishes, sauces etc. This gentle cooking or reheating is done in a bainmarie hot water tank. The culinary preparations are cooked or heated without contact with the heat source in a water bath at 90 ° C.</p><p>The professional bainmarie is a highperformance water bath with a new double heating system to prevent distortion of the tank. This standing model is equipped with a stamped stainless steel tank and a draining system on the front. This stainless steel bainmarie can receive GN containers with a maximum height of 150 mm.</p><p>Features:</p><ul><li>2 adjustable heating powers</li><li>control switchthermostat</li><li>temperature limiter with automatic reset</li><li>control lamp</li><li>Safe stainless steel draining tap</li><li>Reinforced insulation</li><li>Delivered without GN container.</li></ul>",320,580,260,12 kg,1.75 kW,230V,,Electric,Stainless steel,Continuous,90°C,Auto reset limiter,High performance,GN containers,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-BW30,gid://shopify/Product/8645504008391,<ul><li>Ventilated and compact bread-warmer.</li><li>Keep warm at 35°C every kind of bread for breakfast.</li><li>Control of humidity : 4L water tank to humidify the air.</li><li>2 presentation levels.</li><li>Liftable glass door for self-service.</li></ul>,520,445,360,10 kg,0.2 kW,230V,,Electric,Stainless steel/glass,Continuous,35°C,Thermostat,Humidity control,,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-CB20B,gid://shopify/Product/8645504696519,"<p>Roller grills to reheat precooked sausages.</p><ul><li>Keep warm up to 20 precooked sausages, 96 hot-dogs/h!</li><li>Cleaning: removable juice tray.</li><li>RG 9, RG 11 and RG 14 with independent control of 2 heating zones.</li></ul><p>Features:</p><ul><li>switch on/off</li><li>power control</li><li>pilot light</li><li>high-powered motor.</li></ul><p>CB 20 B:</p><ul><li>bun warmer GN 2/3 to keep warm and soft hot-dog buns</li><li>Humidity control</li><li>Removable drawer and dishwasher-safe GN 2/3 container.</li></ul>",545,460,220,17 kg,0.7 kW,230V,,Electric,Stainless steel,Continuous,Variable,Thermostat,Humidity control,,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-CDE350,gid://shopify/Product/8645504041159,"<p>The electric crepe maker CDE 350 is equipped with two Ø350 mm enamelled castiron plates with independent controls. The enamelled coating substantially reduces the seasoning phase, allowing for operation from the first use without the need for tedious weekly maintenance.</p><p>This professional unit guarantees homogeneous cooking and excellent temperature transfer through its perfectly smooth plates. The integrated Incoloy heating element ensures constant and precise cooking regulated by a thermostat.</p><p>Beyond crepes, the CDE 350 is ideal for preparing buckwheat pancakes, tempuras, chapatis, blinis, fried eggs, vegetables, grilled meat, and Peking duck.</p><p>Features:</p><ul><li>2 spiral heating elements</li><li>2 commutator-thermostats 0-300 °C</li><li>pilot lights and wooden ""T"" utensil</li></ul>",860,480,240,37 kg,6 kW,380V,Ø350,Electric,Cast iron/steel,Continuous,300°C,Thermocouple,Double plate,Wooden rake,120 crepes/h,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-CDE400,gid://shopify/Product/8645877104839,"<p>The CDE 400 electric crepe maker features two Ø400 mm enamelled cast iron plates with independent controls, eliminating the need for weekly seasoning. It provides perfectly homogeneous cooking and excellent temperature transfer via a smooth contact surface.</p><p>The Incoloy spiral heating elements are integrated into the plates for precise thermostat-regulated cooking. This versatile unit is suitable for crepes, pancakes, chapatis, blinis, fried eggs, vegetables, and grilled meats.</p><p>Features:</p><ul><li>2 spiral heating elements</li><li>2 commutator thermostats (0-300 °C)</li><li>Pilot lights and wooden T-utensil</li></ul>",860,480,240,44 kg,7.2 kW,380V,Ø400,Electric,Cast iron/steel,Continuous,300°C,Thermocouple,Double plate,Wooden rake,120 crepes/h,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-CDG400,gid://shopify/Product/8645502894279,,860,485,240,44 kg,,,Ø400,Gas,Cast iron/steel,Continuous,Variable,Thermocouple,Double burner,Wooden rake,120 crepes/h,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-CFE400,gid://shopify/Product/8645506859207,,400,190,190,18 kg,3.6 kW,230V,Ø400,Electric,Enameled cast iron,Continuous,220°C,Thermostat,Builtin,Wooden rake,60 crepes/h,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-CFG400,gid://shopify/Product/8645509513415,"<p>The gas crepe machine CFG 400 is equipped with an enameled cast iron plate (Diameter: 400 mm). The enameled coating of the plate substantially reduces the seasoning phase, making it operational from the first use.</p><p>The 8-star-shaped burner integrated beneath the plate guarantees homogeneous and precise cooking regulated by thermostat. The smooth surface ensures excellent temperature transfer and real contact cooking for light, golden crepes without caramelization.</p><p>This professional equipment is also ideal for buckwheat pancakes, Indian tempuras, Indonesian chapatis, blinis, fried eggs, vegetables, or grilled meat. It features a safety thermocouple that automatically stops gas flow in case of malfunction.</p><p>Features:</p><ul><li>Piezo ignition</li><li>Regulating button with idle position</li><li>Safety thermocouple</li><li>Wooden T to spread the dough</li><li>Delivered in butane / propane with natural gas injectors</li></ul>",400,195,195,17 kg,,,Ø400,Gas,Enameled cast iron,Continuous,Variable,Thermocouple,Builtin,Wooden rake,60 crepes/h,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-CK3,gid://shopify/Product/8645501223111,"<p>A professional crepe maker is indispensable in producing quality crepes, and so are the right tools for the job! The device must be designed to withstand intensive use, characterized by high power and effective temperature control. Let us take a look at the essential tools needed.</p><p>The must-have crepe machine accessories:</p><ul><li>The round greasing pad: fitted with heat-resistant felt for greasing the plate with sunflower oil.</li><li>The wooden spreader: essential for shaping thin crepes on the plate; works best when wet.</li><li>Two stainless steel spatulas: a long spatula to flip the crepe and a triangular one to fold it.</li><li>Roller Grill CK3 crepe kit: a convenient stainless steel set to keep all tools organized and tidy.</li></ul>",490,150,x90,2 kg,,,,,Stainless steel,,,,Crepe tools kit,Spatulas/rakes,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-CO6,gid://shopify/Product/8646050808007,,,,,,,,,,,,,,,,,,,,
ROL1-CO60,gid://shopify/Product/8646050840775,"<p>The professional CO 60 egg boiler is a must have equipment for breakfast buffet and brunch. The Gastronorm GN 1/3 egg boiler is an indispensable professional equipment for hotels and restaurants, allowing each customer to prepare eggs at the desired cooking time: softboiled, boiled, or poached.</p><p>The Roller Grill egg cooker works like a bain-marie: simply pour water into the GN 1/3 stainless steel tray and immerse your egg basket in boiling water. The powerful heating element and aluminum plate ensure even heat distribution, while the temperature limiter enables safe cooking.</p><p>Features:</p><ul><li>Equipped with a stainless steel lid</li><li>Includes 6 numbered baskets</li><li>Capacity for up to 10 egg baskets</li><li>Easy to clean and store</li></ul>",215,430,255,5 kg,1.2 kW,230V,,Electric,Stainless steel,Timer,Variable,Temperature limiter,Automatic,6 baskets,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-CS3E,gid://shopify/Product/8645498994887,"<p>The professional hot dog machine CS 3 E is a fast cooking steamer. After preheating, it can be used continuously all day long to serve up to 60 hot dogs per hour.</p><p>This electric steamer is specially designed for steam cooking fresh sausages. It features a glass cylinder (ø 200mm, Height: 240mm) and a heating element under a Teflon container that boils water to create steam.</p><p>The machine is easy to use: set the thermostat to ""max"" for 15 minutes, then switch to the continuous position for nonstop cooking or 70°C to keep warm.</p><p>A compartmentalised basket holds up to 40 fresh sausages, while 3 heating pads are included to toast hot dog buns or baguettes.</p><p>This compact steam cooker is ideal for sandwich shops, food trucks and small food outlets.</p><p>Features:</p><ul><li>3 heating pads</li><li>cylindrical glass envelope</li><li>teflon tank</li><li>energy regulator</li><li>pilot light</li></ul>",450,300,400,10 kg,0.65 kW,230V,,Electric,Glass/steel,Continuous,Variable,Safety thermostat,Steam cooking,Split basket,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-CS4E,gid://shopify/Product/8645508956359,,450,300,400,10kg,0.65kW,230V,,Electric,Glass cylinder & teflon container,Continuous,Not specified,,,Power control with lock position,Not specified,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-CSE350,gid://shopify/Product/8646050873543,"<p>With the enamelled castiron crepe maker CSE 350, the weekly seasoning is over! The electric crepe maker CSE 350 is equipped with a Ø350 mm enamelled castiron plate. The enamelled coating of the plate substantially reduces the seasoning phase normally required before the first use and every week. With the Roller Grill enamelled castiron plate, the electric crepe maker is in operation from the first pancake cooking.</p><p>The professional electric crepe maker CSE 350 guarantees perfectly homogeneous cooking. The perfectly smooth enamelled castiron plate ensures excellent temperature transfer and real cooking by contact. The Incoloy spiral heating element is integrated into the castiron plate to guarantee constant and precise cooking regulated by thermostat.</p><p>Just lightly grease the machine between each baking to obtain a light, well-golden, and perfectly honeycombed crepe. Beyond crepes, it is ideal for buckwheat pancakes, Indian tampuras, Indonesian chapatis, blinis, fried eggs, simmering vegetables, grilling meat, or preparing Peking duck.</p><p>Features:</p><ul><li>2 spiral heating elements</li><li>2 commutator-thermostats 0-300 ° C</li><li>pilot lights, wooden ""T"" utensil to spread the batter evenly.</li></ul>",450,480,240,20 kg,3 kW,230V,Ø350,Electric,Enameled cast iron,Continuous,300°C,Thermostat,Single plate,Wooden rake,60 crepes/h,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-CSE400,gid://shopify/Product/8646050906311,"<p>The electric crepe maker CSE 400 is equipped with a Ø400 mm enamelled castiron plate which substantially reduces the seasoning phase. This professional electric crepe maker guarantees perfectly homogeneous cooking and ensures an excellent temperature transfer and a real cooking by contact.</p><p>The Incoloy heating element is integrated into the castiron plate and maintained by 2 counter plates. This spiral heating element guarantees a constant and precise cooking regulated by thermostat. It is ideal for buckwheat pancakes, Indian tampuras, Indonesian chapatis, blinis, fried eggs, vegetables, grilled meat, or Peking duck.</p><p>Features:</p><ul><li>2 spiral heating elements</li><li>2 commutator-thermostats 0-300 °C</li><li>Pilot lights, wooden ""T"" utensil to spread the batter evenly.</li></ul>",450,480,240,23 kg,3.6 kW,230V,Ø400,Electric,Enameled cast iron,Continuous,300°C,Thermostat,Single plate,Wooden rake,60 crepes/h,1 Year,1 Year,France,"CE, UL/NSF"
